"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","B1102","B1103","B1104","B1105","B1106","B1107"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","B1102_Total land area (Incl. the northern territories and Takeshima)[ha]","B1103_Inhabitable area[ha]","B1104_Main lakes and marshes area[ha]","B1105_Woodland area[ha]","B1106_Forest area[ha]","B1107_Area of grass fields other than forest[ha]"
"2014100000","2014","02387","Aomori-ken Nakadomari-machi","","21632","6963","0","14881","14481","400"
"2014100000","2014","02401","Aomori-ken Noheji-machi","","8168","2715","0","5424","5163","261"
"2014100000","2014","02402","Aomori-ken Shichinohe-machi","","33723","11737","0","22092","21735","357"
"2014100000","2014","02405","Aomori-ken Rokunohe-machi","","8389","5655","0","2681","2525","156"
"2014100000","2014","02406","Aomori-ken Yokohama-machi","","12638","2983","0","9570","7888","1682"
"2014100000","2014","02408","Aomori-ken Tohoku-machi","","32650","11465","6369","14804","13852","952"
"2014100000","2014","02411","Aomori-ken Rokkasho-mura","","25268","11310","1211","12826","12250","576"
"2014100000","2014","02412","Aomori-ken Oirase-cho","","7196","5897","0","1299","1299","0"
"2014100000","2014","02423","Aomori-ken Oma-machi","","5210","1401","0","3778","3762","16"
"2014100000","2014","02424","Aomori-ken Higashidori-mura","","29527","6110","0","23133","21664","1469"
"2014100000","2014","02425","Aomori-ken Kazamaura-mura","","6955","530","0","6411","6379","32"
"2014100000","2014","02426","Aomori-ken Sai-mura","","13504","1687","0","11835","11803","32"
"2014100000","2014","02441","Aomori-ken Sannohe-machi","","15179","5500","0","9797","9680","117"
"2014100000","2014","02442","Aomori-ken Gonohe-machi","","17767","8489","0","9266","9266","0"
"2014100000","2014","02443","Aomori-ken Takko-machi","","24198","4770","0","19451","19065","386"
"2014100000","2014","02445","Aomori-ken Nambu-cho","","15312","7563","0","7697","7697","0"
"2014100000","2014","02446","Aomori-ken Hashikami-cho","","9401","3931","0","5468","5468","0"
"2014100000","2014","02450","Aomori-ken Shingo-mura","","15077","3346","0","11750","11605","145"
"2014100000","2014","03201","Iwate-ken Morioka-shi","","88647","23825","0","64991","64878","113"
"2014100000","2014","03202","Iwate-ken Miyako-shi","","125915","11823","0","114157","113542","615"
"2014100000","2014","03203","Iwate-ken Ofunato-shi","","32250","5418","0","26822","26456","366"
"2014100000","2014","03205","Iwate-ken Hanamaki-shi","","90839","32093","0","58500","58442","58"
"2014100000","2014","03206","Iwate-ken Kitakami-shi","","43755","20318","0","23430","23420","10"
"2014100000","2014","03207","Iwate-ken Kuji-shi","","62350","7921","0","53414","53387","27"
"2014100000","2014","03208","Iwate-ken Tono-shi","","82597","13122","0","68350","66677","1673"
"2014100000","2014","03209","Iwate-ken Ichinoseki-shi","","125642","47679","0","77741","77735","6"
"2014100000","2014","03210","Iwate-ken Rikuzentakata-shi","","23194","4466","0","18279","18278","1"
"2014100000","2014","03211","Iwate-ken Kamaishi-shi","","44034","4338","0","38880","38835","45"
"2014100000","2014","03213","Iwate-ken Ninohe-shi","","42042","10894","0","31125","31115","10"
"2014100000","2014","03214","Iwate-ken Hachimantai-shi","","86230","21124","0","66111","64132","1979"
"2014100000","2014","03215","Iwate-ken Oshu-shi","","99330","44472","0","54551","54335","216"
"2014100000","2014","03216","Iwate-ken Takizawashi","","18246","8876","0","9370","7555","1815"
"2014100000","2014","03301","Iwate-ken Shizukuishi-cho","","60882","12787","0","47918","45858","2060"
"2014100000","2014","03302","Iwate-ken Kuzumaki-machi","","43496","6378","0","37054","37054","0"
"2014100000","2014","03303","Iwate-ken Iwate-machi","","36046","8940","0","27106","27103","3"
"2014100000","2014","03321","Iwate-ken Shiwa-cho","","23898","10148","0","13825","13821","4"
"2014100000","2014","03322","Iwate-ken Yahaba-cho","","6732","5142","0","1581","1581","0"
"2014100000","2014","03366","Iwate-ken Nishiwaga-machi","","59074","10716","0","48176","47964","212"
"2014100000","2014","03381","Iwate-ken Kanegasaki-cho","","17976","10775","0","7082","6826","256"
"2014100000","2014","03402","Iwate-ken Hiraizumi-cho","","6339","3270","0","3069","3069","0"
"2014100000","2014","03441","Iwate-ken Sumita-cho","","33484","3441","0","30033","29703","330"
"2014100000","2014","03461","Iwate-ken Otsuchi-cho","","20042","2244","0","17616","17608","8"
